ChannelID,VideoID,Title,ViewCount,PublishDate
UC4p_I9eiRewn2KoU-nawrDg,iUZccK5FS_w,Living in a 2-room flexi flat,184637,2021-02-27T12:00:30Z
UC4p_I9eiRewn2KoU-nawrDg,WVbX6LwTJ6s,30 new Covid-19 cases; Woman who refused to wear mask at MBS arrested | THE BIG STORY,173257,2021-05-25T09:52:41Z
UC4p_I9eiRewn2KoU-nawrDg,uQLnMRjHS48,Another South Korean star dead in latest K-pop tragedy,168736,2019-12-04T11:31:46Z
UC4p_I9eiRewn2KoU-nawrDg,4BRIuTUhTDg,"Jamus Lim says WP&#39;s Sengkang team will be just as good as PAP&#39;s, if not better | GE2020 TODAY",167207,2020-07-07T14:32:27Z
UC4p_I9eiRewn2KoU-nawrDg,GswU6XKfHx8,Man speaks out after racist encounter on Orchard Road | ST NEWS NIGHT,156058,2021-06-07T13:31:40Z
UC4p_I9eiRewn2KoU-nawrDg,uEYsOQ66xqU,Watch Loh Kean Yew take on Viktor Axelsen in a different kind of rally | Badminton Bromance Part 2,151613,2022-07-14T12:00:37Z
UC4p_I9eiRewn2KoU-nawrDg,06reSv4Z09g,Will dining in be off the table from June 21 amid a spike in cases? | ST NEWS NIGHT,148673,2021-06-16T13:20:47Z
UC4p_I9eiRewn2KoU-nawrDg,b3w8gu9S3lo,Coronavirus: The next three months | THE BIG STORY,145670,2020-03-09T10:38:28Z
UC4p_I9eiRewn2KoU-nawrDg,xCvGUa9OtyM,Residents flee Kyiv as Russia launches attack on Ukraine | THE BIG STORY,145569,2022-02-24T09:53:05Z
UC4p_I9eiRewn2KoU-nawrDg,02uJkfYKm1M,Trump-Kim summit: Who had the upper hand(shake)?,144363,2018-06-12T16:10:02Z
UC4p_I9eiRewn2KoU-nawrDg,_a8jPY7ZImk,Tan Tock Seng Hospital cluster: A timeline,142549,2021-05-01T06:00:05Z
UC4p_I9eiRewn2KoU-nawrDg,pXu1h9Vc544,Covid-19: No dining in from July 22 to Aug 18 as Singapore returns to phase 2 (heightened alert),142346,2021-07-20T07:53:54Z
UC0GP1HDhGZTLih7B89z_cTg,q4Lftwq98DY,"Chaos at Donald Trump rally, assassination attempt caught on video",1025966,2024-07-14T04:40:47Z
UC0GP1HDhGZTLih7B89z_cTg,CxUwAB0v3Iw,What is a Good Class Bungalow?,123303,2017-06-15T05:19:54Z
UC0GP1HDhGZTLih7B89z_cTg,dryF1hpGK4A,Introducing the all-new Business Times News Tablet,101231,2020-09-15T03:38:35Z
UC0GP1HDhGZTLih7B89z_cTg,BDy6oLKA-BQ,Can Swee Heng Bakery’s legacy continue to thrive? | The Business Behind,71242,2024-05-31T08:30:06Z
UC0GP1HDhGZTLih7B89z_cTg,uxCXUTA48KY,An unusual route in entrepreneurship: Witchcraft | Gen Hustle,67086,2022-07-14T09:00:30Z
UC0GP1HDhGZTLih7B89z_cTg,98eyHIxdwwo,BT celebrates 45 years!,50224,2021-10-12T09:00:06Z
UC0GP1HDhGZTLih7B89z_cTg,gNVMBw1AjlM,What caused the storm that brought Dubai to a standstill?,47757,2024-04-19T08:00:33Z
UC0GP1HDhGZTLih7B89z_cTg,ZYOyE5Fhb64,The reality of being an NFT Artist in Singapore | Gen Hustle,37466,2022-06-23T09:00:13Z
UC0GP1HDhGZTLih7B89z_cTg,e2zet8wUGq0,The true cost of living on a Instagram baker’s income | Gen Hustle,37325,2022-06-30T09:00:12Z
UC0GP1HDhGZTLih7B89z_cTg,Pfs_Mq2Ub4g,Trương Mỹ Lan: Property queen in 304-trillion-dong Vietnam fraud case,33676,2024-03-08T09:15:01Z
UC0GP1HDhGZTLih7B89z_cTg,JBn01e9iIqM,BT - Your Trusted Partner for Business Insights,30269,2021-11-02T00:30:07Z
UC0GP1HDhGZTLih7B89z_cTg,m7fi3Gdg6PM,BREAKING: Can Kamala Harris match up to Donald Trump?,28570,2024-07-22T05:15:01Z
UC0GP1HDhGZTLih7B89z_cTg,wMEBY1UAXfs,What’s behind the rise of million-dollar discontinued HDB properties?,26326,2024-07-05T06:30:17Z
UC0GP1HDhGZTLih7B89z_cTg,UxcmklGk0OU,ST Electronics launches autonomous Unmanned Surface Vessel,25069,2017-06-28T05:04:06Z
UC0GP1HDhGZTLih7B89z_cTg,fR4QBnuYfHU,"BT45: Stefanie Yuen Thio, TSMP Law Corporation",24155,2021-09-30T09:00:16Z
UC0GP1HDhGZTLih7B89z_cTg,H3B1cyZDJtc,"BT45: Christopher Ong, DHL Express Singapore",19560,2021-10-07T09:00:05Z
UC0GP1HDhGZTLih7B89z_cTg,4B_CkGEoqYE,How to sustain a self-owned online business | Gen Hustle,18363,2022-07-21T09:00:05Z
UC0GP1HDhGZTLih7B89z_cTg,VfyEkXxTvWE,Building a career and life from scratch as an expat in Singapore | Gen Hustle,17745,2022-07-07T09:00:12Z
UC0GP1HDhGZTLih7B89z_cTg,Yiym0Ak3_tQ,Taylor Swift will boost Singapore’s economy by up to S$500 million,17541,2024-02-27T10:45:03Z
UC0GP1HDhGZTLih7B89z_cTg,0nIwZjfYoxo,"Tan Sri Dato&#39; Seri Dr Jeffrey Cheah, Sunway Group: CEO Conversations",17057,2017-07-26T07:57:57Z
UC0GP1HDhGZTLih7B89z_cTg,dwKEFARUpIs,Senior Minister Tharman Shanmugaratnam compares crypto with ostrich eggs | World Economic Forum 2023,14196,2023-01-19T09:00:31Z
UC0GP1HDhGZTLih7B89z_cTg,BdUHE0fG1AY,Seizing opportunities in a new economic landscape,12591,2021-02-17T04:58:20Z
UC0GP1HDhGZTLih7B89z_cTg,M9nyS2uB9nA,Singapore semiconductor sector may be hit by US export controls on China,9869,2022-10-27T09:00:16Z
UC0GP1HDhGZTLih7B89z_cTg,8HqdG6-BsZs,"Singapore’s economy under PM Lee Hsien Loong, and its future | Dr Felix Tan on the handover",8651,2024-05-11T01:00:08Z
UC0GP1HDhGZTLih7B89z_cTg,L1E0j8h3LFI,The true cost of electric vehicles in Singapore,7696,2021-06-18T09:00:09Z
UC0GP1HDhGZTLih7B89z_cTg,xT7Rk0Ur4c0,Why are China F&amp;Bs brands piling into Singapore?,6618,2024-07-26T08:30:30Z
UC0GP1HDhGZTLih7B89z_cTg,PJeyQHuCrG0,Could the KL-Singapore High Speed Rail be revived?,4784,2023-04-26T09:30:05Z
UC0GP1HDhGZTLih7B89z_cTg,l7ujHKB6Zrc,"[LIVE] Singapore Budget 2023 statement by DPM Lawrence Wong | Feb 14, 3.30pm",3940,2023-02-14T21:31:07Z
